Category,Front,Back,Pronunciation,PartOfSpeech,Difficulty,Example,Tags
Food & Eating,Garnish,સજાવટ માટે ઉપર પાથરવું / શણગારવું.,ગાર્નિશ,verb/noun,Advanced,Garnish the dish with fresh coriander.,Food_&_Eating; Cooking_&_Preparation; Advanced
Food & Eating,Cuisine,કોઈ પ્રદેશ/સંસ્કૃતિની રસોઈ-શૈલી.,ક્વિઝીન,noun,Advanced,I love Italian cuisine.,Food_&_Eating; Eating_Out; Advanced
Food & Eating,Appetiser,મુખ્ય ભોજન પહેલાંની હળવી વાનગી / સ્ટાર્ટર.,એપિટાઇઝર,noun,Intermediate,We shared an appetiser before the meal.,Food_&_Eating; Eating_Out; Intermediate
Food & Eating,Main course,ભોજનની મુખ્ય વાનગી.,મેઇન કોર્સ,noun,Intermediate,"For the main course, I had grilled fish.",Food_&_Eating; Eating_Out; Intermediate
Food & Eating,Beverage,પીણું.,બેવરિજ,noun,Advanced,Would you like a hot beverage?,Food_&_Eating; Eating_Out; Advanced
Food & Eating,The bill,ભોજનનું બિલ / હિસાબ.,ધ બિલ,noun,Intermediate,"Could we have the bill, please?",Food_&_Eating; Eating_Out; Intermediate
Food & Eating,Tip,સેવા બદલ અપાતી બક્ષિસ.,ટિપ,noun/verb,Intermediate,We left a generous tip for the waiter.,Food_&_Eating; Eating_Out; Intermediate
Food & Eating,Reservation,ટેબલ/જગ્યા અગાઉથી બુક કરાવવી.,રિઝર્વેશન,noun,Intermediate,I made a reservation for two at eight.,Food_&_Eating; Eating_Out; Intermediate
Food & Eating,Nutritious,"પોષણયુક્ત, શરીરને ફાયદાકારક.",ન્યૂટ્રિશસ,adjective,Intermediate,Vegetables are very nutritious.,Food_&_Eating; Diet_&_Health; Intermediate
Food & Eating,Wholesome,"તંદુરસ્ત, શરીર માટે સારું.",હોલસમ,adjective,Advanced,"They serve wholesome, home-style food.",Food_&_Eating; Diet_&_Health; Advanced
Food & Eating,Portion,એક વ્યક્તિ માટેનો ભોજનનો ભાગ / હિસ્સો.,પોર્શન,noun,Intermediate,The restaurant serves large portions.,Food_&_Eating; Diet_&_Health; Intermediate
Food & Eating,Crave,કોઈ ખાવાની તીવ્ર ઇચ્છા થવી.,ક્રેઇવ,verb,Advanced,I'm craving something sweet.,Food_&_Eating; Diet_&_Health; Advanced
Food & Eating,Overeat,જરૂર કરતાં વધારે ખાવું.,ઓવરઈટ,verb,Intermediate,It's easy to overeat at a buffet.,Food_&_Eating; Diet_&_Health; Intermediate
Food & Eating,Balanced diet,પોષક તત્ત્વોથી ભરપૂર સંતુલિત આહાર.,બેલેન્સ્ડ ડાયટ,noun,Intermediate,A balanced diet keeps you healthy.,Food_&_Eating; Diet_&_Health; Intermediate
Food & Eating,Famished,અતિશય ભૂખ્યું.,ફેમિશ્ડ,adjective,Advanced,I'm famished — let's eat now.,Food_&_Eating; Hunger_&_Appetite; Advanced
Food & Eating,Peckish,થોડું ભૂખ્યું.,પેકિશ,adjective,Advanced,I'm feeling a bit peckish.,Food_&_Eating; Hunger_&_Appetite; Advanced
Food & Eating,Appetite,"ભૂખ, ખાવાની ઇચ્છા.",એપિટાઇટ,noun,Intermediate,The walk gave me a good appetite.,Food_&_Eating; Hunger_&_Appetite; Intermediate
Food & Eating,Full up,પેટ ભરાઈ ગયું હોવું.,ફુલ અપ,phrase,Intermediate,"No more for me, I'm full up.",Food_&_Eating; Hunger_&_Appetite; Intermediate
Food & Eating,Nibble,"થોડું થોડું, ધીમે ધીમે ખાવું.",નિબલ,verb,Intermediate,She nibbled on a biscuit.,Food_&_Eating; Hunger_&_Appetite; Intermediate
Food & Eating,Devour,ભૂખ્યાની જેમ ઝડપથી ખાઈ જવું.,ડિવાઉર,verb,Advanced,The children devoured the pizza.,Food_&_Eating; Hunger_&_Appetite; Advanced
Food & Eating,Delicacy,કોઈ ખાસ/દુર્લભ સ્વાદિષ્ટ વાનગી.,ડેલિકસી,noun,Advanced,This sweet is a local delicacy.,Food_&_Eating; Describing_a_Meal; Advanced
Food & Eating,Helping,એક વાર પીરસાતો ભોજનનો ભાગ.,હેલ્પિંગ,noun,Intermediate,"Can I have a second helping, please?",Food_&_Eating; Describing_a_Meal; Intermediate
Food & Eating,Homemade,ઘરે બનાવેલું.,હોમમેઇડ,adjective,Intermediate,I love homemade pickles.,Food_&_Eating; Describing_a_Meal; Intermediate
Food & Eating,Piping hot,એકદમ ગરમાગરમ.,પાઇપિંગ હોટ,phrase,Advanced,The soup was served piping hot.,Food_&_Eating; Describing_a_Meal; Advanced
Food & Eating,Grab a bite,ઝડપથી થોડું ખાઈ લેવું.,ગ્રેબ અ બાઇટ,phrase,Intermediate,Let's grab a bite before the movie.,Food_&_Eating; Describing_a_Meal; Intermediate
Food & Eating,Eat out,બહાર (રેસ્ટોરન્ટમાં) જમવું.,ઈટ આઉટ,phrasal verb,Intermediate,Let's eat out tonight.,Food_&_Eating; Describing_a_Meal; Intermediate
Food & Eating,Tuck in,ભૂખથી/ઉત્સાહથી ખાવાનું શરૂ કરવું.,ટક ઇન,phrasal verb,Advanced,The food's ready — tuck in!,Food_&_Eating; Describing_a_Meal; Advanced
