Category,Front,Back,Pronunciation,PartOfSpeech,Difficulty,Example,Tags
Picnic / Outing,Hilltop,ટેકરીનો સૌથી ઊppar-no bhag — aw-vast views mile — picnic mast spot.,હિ-લ-ટૉ-પ,noun,Intermediate,They hiked up to the hilltop and spread their blanket to enjoy the sweeping views.,Picnic_Outing; The_Outdoor_Setting; Intermediate
Picnic / Outing,Orchard,ફળ-વૃક્ષોથી ભરેલ જમીન-no bhag — picnic mast shady spot — fruits-ni sugandhhi vaatavaran.,ઑ-ર-ચ-ર-ડ,noun,Intermediate,They laid their blanket in the cool shade of the old mango orchard.,Picnic_Outing; The_Outdoor_Setting; Intermediate
Picnic / Outing,Waterfront,"તળાવ, નદી, અથવા સમુદ્ર-ની સીધ-ni-sathe-ni jameen — scenic picnic spot.",વૉ-ટ-ર-ફ-ર-ન-ટ,noun,Intermediate,The city's waterfront park was the perfect place for their Sunday picnic.,Picnic_Outing; The_Outdoor_Setting; Intermediate
Picnic / Outing,Countryside,"શહેર-ner-thi-door-na gramin vistar — khuli khet, kheti, ane prakruti-ni sundarata.",ક-ન-ટ-ર-ી-સા-ઈ-ડ,noun,Intermediate,Nothing beats a picnic in the open countryside on a warm spring day.,Picnic_Outing; The_Outdoor_Setting; Intermediate
Picnic / Outing,Pond,"નાનો, સ્ÿ-still, swacchhh-paani-no jhil — park ke graamin vistar-maa mole.",પૉ-ન-ડ,noun,Intermediate,The children fed the ducks at the pond while the adults set out the picnic.,Picnic_Outing; The_Outdoor_Setting; Intermediate
Picnic / Outing,Wildflower field,khulaa maidan-maa kude-kude aw-naturally ugeli jangli phulvadi — rang-birangi ane sundar.,વા-ઈ-લ-ડ-ફ-લ-ઉ-અ-ર ફ-ી-લ-ડ,noun phrase,Advanced,They spread their blanket in the middle of a stunning wildflower field.,Picnic_Outing; The_Outdoor_Setting; Advanced
Picnic / Outing,Cliff edge,aw-steep paharadi-no sadam kinaro — dramatic views — paran dhyan-thi.,ક-લ-ઈ-ફ એ-જ,noun phrase,Advanced,They set up their picnic just back from the cliff edge to admire the coastal views safely.,Picnic_Outing; The_Outdoor_Setting; Advanced
Picnic / Outing,Cobblestone path,gol-gol nana pathharaa-thi bnaeli vaat — purani garden ya historic jaga-maa mole.,કૉ-બ-લ-સ-ટ-ો-ન પા-થ,noun phrase,Advanced,They strolled along the cobblestone path to find the perfect picnic spot.,Picnic_Outing; The_Outdoor_Setting; Advanced
Picnic / Outing,Glade,jungle-ni-vaache-no khulo maidan — jyaa vraksh nathi — ghass ane prakash bharyo.,ગ-્‌લ-ે-ડ,noun,Advanced,They discovered a beautiful sunlit glade at the heart of the forest.,Picnic_Outing; The_Outdoor_Setting; Advanced
Picnic / Outing,Frisbee,aw-halku plastic disc — players vaache pheki-pakdi — picnic outdoor game.,ફ-્‌ર-િ-ઝ-્‌બ-ી,noun,Intermediate,The kids spent hours throwing the frisbee across the open lawn.,Picnic_Outing; Activities_&_Fun; Intermediate
Picnic / Outing,Kite-flying,khuli hava-maa patang-udaadavani kriya — breeze-no faydo uthaavine masti karo.,કા-ઈ-ટ-ફ-્‌લ-ા-ઈ-ન-ૅ-ગ,noun,Intermediate,The wide-open field was perfect for kite-flying after their picnic lunch.,Picnic_Outing; Activities_&_Fun; Intermediate
Picnic / Outing,Scavenger hunt,aw-game — jyaa badhaa log yaadi-maa-apela items-ni khoj kare — outdoor setting-maa.,સ-્‌કૅ-વ-ન-્‌જ-ર હ-ન-ટ,noun phrase,Intermediate,She prepared a nature scavenger hunt list for the children to complete during the picnic.,Picnic_Outing; Activities_&_Fun; Intermediate
Picnic / Outing,Paddling,aw-uttla paani-maa-chalavanu — nadi ke dariya-na kinare — shaant ane anandmay kriya.,પૅ-ડ-લ-ઈ-ં-ગ,noun,Intermediate,The children went paddling in the cool stream while the adults relaxed on the bank.,Picnic_Outing; Activities_&_Fun; Intermediate
Picnic / Outing,Nature walk,"prakruti-maa-chalavanu — pakshio, phuldo, ane vaatavaran joi aanand levanu — shaant bhramriti.",ને-ચ-ર વૉ-ક,noun phrase,Intermediate,They went on a guided nature walk before settling down for their picnic.,Picnic_Outing; Activities_&_Fun; Intermediate
Picnic / Outing,Volleyball,team sport — net uparthhi ball maarvano — beach ane park outings-maa-popular.,વૉ-લ-ી-બૉ-લ,noun,Intermediate,They set up a portable net and played volleyball all afternoon.,Picnic_Outing; Activities_&_Fun; Intermediate
Picnic / Outing,Stargazing,raatri-na-aakaash-maa-tara ane constellations-joi aanand levanu — blanket-par-suti joine.,સ-ટ-ા-ર-ગ-ે-ઝ-ઇ-ન-ૅ-ગ,noun,Intermediate,They extended the outing into the evening for some stargazing.,Picnic_Outing; Activities_&_Fun; Intermediate
Picnic / Outing,Cycling,cycle-chalavanu — scenic rastaao ke trails-par — outing-no ekk-anandmay hisso.,સ-ા-ઈ-ક-્‌લ-ઇ-ન-ૅ-ગ,noun,Intermediate,They went cycling through the countryside before stopping for a lakeside picnic.,Picnic_Outing; Activities_&_Fun; Intermediate
Picnic / Outing,Campfire,"suurakshit jagha-e-bahar-jalaveli aag — garmi, rasvad, ane dosti-masti maate.",કૅ-મ-પ-ફ-ા-ઈ-ર,noun,Intermediate,They gathered around the campfire as the sun set over the hills.,Picnic_Outing; Activities_&_Fun; Intermediate
Picnic / Outing,Sketching,picnic-daramyan aasjubaaj-ni prakriti ya vastu-ni jaldi-jaldi aakruti dori — creative anand.,સ-્‌કે-ચ-ઇ-ન-ૅ-ગ,noun,Intermediate,She spent the afternoon sketching the rolling hills while the others played frisbee.,Picnic_Outing; Activities_&_Fun; Intermediate
Picnic / Outing,Sunshine,suraj-no seedho prakash ane garmi — picnic mast hava-maa — best weather condition.,સ-ન-શ-ા-ઈ-ન,noun,Intermediate,The picnic was perfect — hours of glorious sunshine and not a cloud in sight.,Picnic_Outing; Weather_&_Conditions; Intermediate
Picnic / Outing,Gusty,"aw-pavan jo vaaranghevaar achaanek tej jhatka-maa aave — shaant nahi, vaaranghevaar.",ગ-સ-ટ-ી,adjective,Advanced,The gusty wind kept blowing the paper plates off the table.,Picnic_Outing; Weather_&_Conditions; Advanced
Picnic / Outing,Dusk,suryaast-baad-no samay — jyaare aakash-no prakash mand pade chhe pan-haju raat-naahi.,ડ-સ-ક,noun,Intermediate,"They stayed until dusk, watching the sky turn shades of pink and orange.",Picnic_Outing; Weather_&_Conditions; Intermediate
Picnic / Outing,Muggy,aw-hava jo garm ane bhejvali hoi — uncomfortable-feeling — sweat vadhare aave.,મ-ગ-ી,adjective,Advanced,It was a muggy afternoon and everyone felt drained before the picnic even began.,Picnic_Outing; Weather_&_Conditions; Advanced
Picnic / Outing,Overcast,aw-aakash jo vaadate badha-j-vaadallo-thi dhakayelo hoi — seedho suraj-prakash na aave.,ઓ-વ-ર-ક-ા-સ-ટ,adjective,Intermediate,The sky was overcast but dry — perfect conditions for a comfortable picnic.,Picnic_Outing; Weather_&_Conditions; Intermediate
Picnic / Outing,Chilly,thodi thand — jacket vaghar-na-chhuttu — par-dhadhatho thand naahi — bahaar uncomfortable.,ચ-િ-લ-ી,adjective,Intermediate,"The morning was chilly, so they wrapped up in jackets before heading out.",Picnic_Outing; Weather_&_Conditions; Intermediate
Picnic / Outing,Patchy cloud,aakash-maa-thodhaa-thodhaa vaadalla — vaachhe-vaachhe nilun aakash ane sunshine.,પ-ૅ-ચ-ી ક-્‌લ-ા-ઉ-ડ,noun phrase,Advanced,"The forecast said patchy cloud, which turned out to be ideal picnic weather.",Picnic_Outing; Weather_&_Conditions; Advanced
Picnic / Outing,Mild,aw-havaaman jo na vadhare garm-na-vadhare thand — saamaanya ane aaaraamdaayak.,મ-ા-ઈ-લ-ડ,adjective,Intermediate,The weather was mild and sunny — a perfect day for an outing.,Picnic_Outing; Weather_&_Conditions; Intermediate
Picnic / Outing,Shower,thodi-varr-maat-raa-ni halki varsha — jaldi-thi-pasar-thai-jaay — varasaad-nahi-pun-thodi-varsha.,શ-ા-ઉ-અ-ર,noun,Intermediate,"There might be a shower or two, but it should clear up by lunchtime.",Picnic_Outing; Weather_&_Conditions; Intermediate
Picnic / Outing,Golden hour,suryoday-baad ke suryaast-pahela-no samay — jyaare suraj-no prakash garam-sona-jevo ane komal hoi.,ગ-ો-લ-ડ-ન આ-ઉ-અ-ર,noun phrase,Advanced,They timed their hilltop picnic to enjoy the golden hour before sunset.,Picnic_Outing; Weather_&_Conditions; Advanced
Picnic / Outing,Rejuvenating,aw-anubhav jo taazgi ane urja paacho aape — thaakyu man-tantu-fari-taaju thay.,રિ-જ-ૂ-વ-િ-ન-ે-ટ-ઇ-ન-ૅ-ગ,adjective,Advanced,The day-long picnic in the hills was thoroughly rejuvenating.,Picnic_Outing; Describing_the_Experience; Advanced
Picnic / Outing,Memorable,aw-khaas-anubhav — je etlu-sundar-hoi ke yaadagaar-bani-jaay — bhulatu naahi.,મ-ે-મ-ો-ર-એ-બ-લ,adjective,Intermediate,It was the most memorable picnic we had ever been on.,Picnic_Outing; Describing_the_Experience; Intermediate
Picnic / Outing,Serene,"shaant, aanandmay ane nishchal — aw-jaga ya vataavaran je man-ne-chain-aape.",સ-િ-ર-ી-ન,adjective,Advanced,The forest glade was so serene that nobody wanted to break the silence.,Picnic_Outing; Describing_the_Experience; Advanced
Picnic / Outing,Spontaneous,pehela-thi-aayojan-vagar — achaanek-j-mun-thayu ane nikli-pddya — tatkalik-no-anubhav.,સ્‌પૉ-ન-ટ-ે-ઇ-ઓ-સ,adjective,Advanced,The spontaneous picnic after the morning market was the best part of the trip.,Picnic_Outing; Describing_the_Experience; Advanced
Picnic / Outing,Wholesome,aw-pramaanik ane swasthya-purna anubhav — je man-ane-tan-ne-saro-feel-karaave.,હ-ો-લ-સ-મ,adjective,Intermediate,A family picnic is the most wholesome way to spend a weekend afternoon.,Picnic_Outing; Describing_the_Experience; Intermediate
Picnic / Outing,Idyllic,"aw-jaga ya parithiti je bilkul-shaant, sundar ane aanand-maate-made-for — swarg-jaisi.",ઇ-ડ-િ-લ-ઈ-ક,adjective,Advanced,The orchard in bloom was an idyllic setting for their anniversary picnic.,Picnic_Outing; Describing_the_Experience; Advanced
Picnic / Outing,Convivial,aw-garm ane maitripoorn vataavaran — jyaa log ek-bee-sathe aanandthi-bethe-hoi — dosti-no aanand.,ક-ૉ-ન-વ-િ-વ-ી-ઓ-લ,adjective,Advanced,The picnic had a wonderfully convivial atmosphere — everyone was relaxed and laughing.,Picnic_Outing; Describing_the_Experience; Advanced
Picnic / Outing,Invigorating,aw-anubhav jo urja ane chalakpan aape — tan-man-ne-uthaan-aave — fresh feeling.,ઇ-ન-વ-ઈ-ગ-ો-ર-ે-ઇ-ઓ-ન-ૅ-ગ,adjective,Advanced,The brisk nature walk before breakfast was invigorating for everyone.,Picnic_Outing; Describing_the_Experience; Advanced
Picnic / Outing,Unhurried,aw-jaldi-vagar — aaraampurvak — drek-pal-maanvanu — koi-pressure-vagar-shaant-reetho.,અ-ન-હ-ર-ી-ડ,adjective,Advanced,"They spent an unhurried afternoon at the waterfront, with nowhere to be.",Picnic_Outing; Describing_the_Experience; Advanced
Picnic / Outing,Immersed in nature,prakruti-maa-tamam ane poora-j-dubhu — sheher-bhulayelu — ane prakruti-sathe-ekroop thayelu.,ઇ-મ-ર-સ-ડ ઇ-ન ને-ચ-ર,adjective,Advanced,Spending a whole day in the forest left her feeling completely immersed in nature.,Picnic_Outing; Describing_the_Experience; Advanced
Food & Eating,Savoury,મીઠું/તીખું (ગળ્યું નહિ) સ્વાદવાળું.,સેવરી,adjective,Advanced,I prefer savoury snacks to sweets.,Food_&_Eating; Taste_&_Flavour; Advanced
Food & Eating,Bland,"સ્વાદ વગરનું, ફિક્કું.",બ્લેન્ડ,adjective,Intermediate,The soup was bland and needed salt.,Food_&_Eating; Taste_&_Flavour; Intermediate
Food & Eating,Tangy,"તીખાશભર્યો, ખટમધુરો સ્વાદ.",ટેંગી,adjective,Advanced,The tangy lemon dressing was delicious.,Food_&_Eating; Taste_&_Flavour; Advanced
Food & Eating,Mouth-watering,મોઢામાં પાણી લાવી દે એવું સ્વાદિષ્ટ.,માઉથ-વોટરિંગ,adjective,Intermediate,The mouth-watering smell of biryani filled the house.,Food_&_Eating; Taste_&_Flavour; Intermediate
Food & Eating,Rich,"ઘી/ક્રીમ/ખાંડથી ભરપૂર, ભારે.",રિચ,adjective,Intermediate,The chocolate cake was very rich.,Food_&_Eating; Taste_&_Flavour; Intermediate
Food & Eating,Stale,"વાસી, તાજું ન રહેલું.",સ્ટેઇલ,adjective,Intermediate,The bread had gone stale.,Food_&_Eating; Taste_&_Flavour; Intermediate
Food & Eating,Zesty,"તાજગીભર્યો, લીંબુ જેવો ચટપટો સ્વાદ.",ઝેસ્ટી,adjective,Advanced,The salad had a zesty lime dressing.,Food_&_Eating; Taste_&_Flavour; Advanced
Food & Eating,Simmer,ધીમા તાપે ઉકાળવું (ઉકળતા પહેલાંના તાપે).,સિમર,verb,Advanced,Let the curry simmer for twenty minutes.,Food_&_Eating; Cooking_&_Preparation; Advanced
Food & Eating,Sauté,થોડા તેલમાં ઝડપથી તળવું / સાંતળવું.,સોટે,verb,Advanced,Sauté the onions until golden.,Food_&_Eating; Cooking_&_Preparation; Advanced
Food & Eating,Marinate,મસાલાવાળા પ્રવાહીમાં પલાળી રાખવું.,મેરિનેટ,verb,Advanced,Marinate the chicken overnight for best flavour.,Food_&_Eating; Cooking_&_Preparation; Advanced
Food & Eating,Whisk,ઝડપથી ફીણવું / ફેંટવું (ઈંડા/ક્રીમ).,વ્હિસ્ક,verb,Intermediate,Whisk the eggs until fluffy.,Food_&_Eating; Cooking_&_Preparation; Intermediate
Food & Eating,Knead,લોટ/કણક હાથથી મસળવું.,નીડ,verb,Intermediate,Knead the dough for ten minutes.,Food_&_Eating; Cooking_&_Preparation; Intermediate
Food & Eating,Season,મીઠું-મસાલા ઉમેરવા.,સીઝન,verb,Intermediate,Season the soup with salt and pepper.,Food_&_Eating; Cooking_&_Preparation; Intermediate
Food & Eating,Garnish,સજાવટ માટે ઉપર પાથરવું / શણગારવું.,ગાર્નિશ,verb/noun,Advanced,Garnish the dish with fresh coriander.,Food_&_Eating; Cooking_&_Preparation; Advanced
Food & Eating,Cuisine,કોઈ પ્રદેશ/સંસ્કૃતિની રસોઈ-શૈલી.,ક્વિઝીન,noun,Advanced,I love Italian cuisine.,Food_&_Eating; Eating_Out; Advanced
Food & Eating,Appetiser,મુખ્ય ભોજન પહેલાંની હળવી વાનગી / સ્ટાર્ટર.,એપિટાઇઝર,noun,Intermediate,We shared an appetiser before the meal.,Food_&_Eating; Eating_Out; Intermediate
Food & Eating,Main course,ભોજનની મુખ્ય વાનગી.,મેઇન કોર્સ,noun,Intermediate,"For the main course, I had grilled fish.",Food_&_Eating; Eating_Out; Intermediate
Food & Eating,Beverage,પીણું.,બેવરિજ,noun,Advanced,Would you like a hot beverage?,Food_&_Eating; Eating_Out; Advanced
Food & Eating,The bill,ભોજનનું બિલ / હિસાબ.,ધ બિલ,noun,Intermediate,"Could we have the bill, please?",Food_&_Eating; Eating_Out; Intermediate
Food & Eating,Tip,સેવા બદલ અપાતી બક્ષિસ.,ટિપ,noun/verb,Intermediate,We left a generous tip for the waiter.,Food_&_Eating; Eating_Out; Intermediate
Food & Eating,Reservation,ટેબલ/જગ્યા અગાઉથી બુક કરાવવી.,રિઝર્વેશન,noun,Intermediate,I made a reservation for two at eight.,Food_&_Eating; Eating_Out; Intermediate
Food & Eating,Nutritious,"પોષણયુક્ત, શરીરને ફાયદાકારક.",ન્યૂટ્રિશસ,adjective,Intermediate,Vegetables are very nutritious.,Food_&_Eating; Diet_&_Health; Intermediate
Food & Eating,Wholesome,"તંદુરસ્ત, શરીર માટે સારું.",હોલસમ,adjective,Advanced,"They serve wholesome, home-style food.",Food_&_Eating; Diet_&_Health; Advanced
Food & Eating,Portion,એક વ્યક્તિ માટેનો ભોજનનો ભાગ / હિસ્સો.,પોર્શન,noun,Intermediate,The restaurant serves large portions.,Food_&_Eating; Diet_&_Health; Intermediate
Food & Eating,Crave,કોઈ ખાવાની તીવ્ર ઇચ્છા થવી.,ક્રેઇવ,verb,Advanced,I'm craving something sweet.,Food_&_Eating; Diet_&_Health; Advanced
Food & Eating,Overeat,જરૂર કરતાં વધારે ખાવું.,ઓવરઈટ,verb,Intermediate,It's easy to overeat at a buffet.,Food_&_Eating; Diet_&_Health; Intermediate
Food & Eating,Balanced diet,પોષક તત્ત્વોથી ભરપૂર સંતુલિત આહાર.,બેલેન્સ્ડ ડાયટ,noun,Intermediate,A balanced diet keeps you healthy.,Food_&_Eating; Diet_&_Health; Intermediate
Food & Eating,Famished,અતિશય ભૂખ્યું.,ફેમિશ્ડ,adjective,Advanced,I'm famished — let's eat now.,Food_&_Eating; Hunger_&_Appetite; Advanced
Food & Eating,Peckish,થોડું ભૂખ્યું.,પેકિશ,adjective,Advanced,I'm feeling a bit peckish.,Food_&_Eating; Hunger_&_Appetite; Advanced
Food & Eating,Appetite,"ભૂખ, ખાવાની ઇચ્છા.",એપિટાઇટ,noun,Intermediate,The walk gave me a good appetite.,Food_&_Eating; Hunger_&_Appetite; Intermediate
Food & Eating,Full up,પેટ ભરાઈ ગયું હોવું.,ફુલ અપ,phrase,Intermediate,"No more for me, I'm full up.",Food_&_Eating; Hunger_&_Appetite; Intermediate
Food & Eating,Nibble,"થોડું થોડું, ધીમે ધીમે ખાવું.",નિબલ,verb,Intermediate,She nibbled on a biscuit.,Food_&_Eating; Hunger_&_Appetite; Intermediate
Food & Eating,Devour,ભૂખ્યાની જેમ ઝડપથી ખાઈ જવું.,ડિવાઉર,verb,Advanced,The children devoured the pizza.,Food_&_Eating; Hunger_&_Appetite; Advanced
Food & Eating,Delicacy,કોઈ ખાસ/દુર્લભ સ્વાદિષ્ટ વાનગી.,ડેલિકસી,noun,Advanced,This sweet is a local delicacy.,Food_&_Eating; Describing_a_Meal; Advanced
Food & Eating,Helping,એક વાર પીરસાતો ભોજનનો ભાગ.,હેલ્પિંગ,noun,Intermediate,"Can I have a second helping, please?",Food_&_Eating; Describing_a_Meal; Intermediate
Food & Eating,Homemade,ઘરે બનાવેલું.,હોમમેઇડ,adjective,Intermediate,I love homemade pickles.,Food_&_Eating; Describing_a_Meal; Intermediate
Food & Eating,Piping hot,એકદમ ગરમાગરમ.,પાઇપિંગ હોટ,phrase,Advanced,The soup was served piping hot.,Food_&_Eating; Describing_a_Meal; Advanced
Food & Eating,Grab a bite,ઝડપથી થોડું ખાઈ લેવું.,ગ્રેબ અ બાઇટ,phrase,Intermediate,Let's grab a bite before the movie.,Food_&_Eating; Describing_a_Meal; Intermediate
Food & Eating,Eat out,બહાર (રેસ્ટોરન્ટમાં) જમવું.,ઈટ આઉટ,phrasal verb,Intermediate,Let's eat out tonight.,Food_&_Eating; Describing_a_Meal; Intermediate
Food & Eating,Tuck in,ભૂખથી/ઉત્સાહથી ખાવાનું શરૂ કરવું.,ટક ઇન,phrasal verb,Advanced,The food's ready — tuck in!,Food_&_Eating; Describing_a_Meal; Advanced
Food & Eating,Bitter,"કડવો સ્વાદ — જેમ કે કાળી કૉફી અથવા ડાર્ક ચૉકલેટ જેવો તીખો, અળખામણો સ્વાદ.",બિટર,adjective,Intermediate,The medicine had a bitter taste that was hard to swallow.,Food_&_Eating; Taste_&_Flavour; Intermediate
Food & Eating,Sour,"ખાટો સ્વાદ — જેવો કે લીંબુ અથવા વિનેગરનો, ન મીઠો.",સાઉઅર,adjective,Intermediate,The yogurt had a pleasantly sour taste.,Food_&_Eating; Taste_&_Flavour; Intermediate
Food & Eating,Sweet,મીઠો સ્વાદ — ખાંડ અથવા મધ જેવો આહ્લાદક સ્વાદ.,સ્વીટ,adjective,Intermediate,The ripe mango was incredibly sweet.,Food_&_Eating; Taste_&_Flavour; Intermediate
Food & Eating,Spicy,મસાલેદાર અથવા તીખો — મરચા અથવા મરી જેવા મસાલાઓથી આવતો ઉગ્ર સ્વાદ.,સ્પાઇસી,adjective,Intermediate,He loves spicy food and always orders the hottest dish.,Food_&_Eating; Taste_&_Flavour; Intermediate
Food & Eating,Smoky,ધૂમ્ +'ઓ જેવો સ્વાદ — ગ્રિલ અથવા બાર્બેક્યૂ કરવાથી આવતો ધ'ઓ-ભ'ર'ઓ સ'ડ'.,સ્મોકી,adjective,Intermediate,The barbecued ribs had a wonderful smoky flavour.,Food_&_Eating; Taste_&_Flavour; Intermediate
Food & Eating,Umami,"પાંચમો મૂળ સ્વાદ — ઘૂંટાઈ ગયેલ, ભારે અને ભૂ' ,'ગ'ડ' એ'વ' સ'ડ', જ' ,'ઉ, ,'ઓ'ય ,'ઓ'સ, ,'ગ' ,'ઝ'.",ઉમામી,noun,Advanced,Mushrooms add an umami depth to the soup.,Food_&_Eating; Taste_&_Flavour; Advanced
Food & Eating,Pungent,"ઉ' 'ર' ,'ત'વ' સ'ડ' ,'ન' ,'ઘ' — ,'ઘ'ણ' ,'ત' ,'ભ'ર' ,'ઝ'ળ'ળ'.",પ'ઝ'ટ,adjective,Advanced,The pungent smell of garlic filled the kitchen.,Food_&_Eating; Taste_&_Flavour; Advanced
Food & Eating,Mellow,",'ર'મ', ,'ઘ'ઘ'ટ'ય' ,'ઊ'ડ' ,'ડ' — ,'ઉ' ,'ન', ,'ક'વ' ,'ન'.",",'",adjective,Intermediate,"The aged cheddar had a mellow, nutty flavour.",Food_&_Eating; Taste_&_Flavour; Intermediate
Food & Eating,Tart,",'ઝ'ણ' ,'ખ'ટ' ,'ડ' — ,'ડ'ષ' ,'ત' ,'ખ'ટ', ,'ઇ' ,'ક' ,'ઇ'.",ટ'ર'ટ,adjective,Intermediate,The cranberries were wonderfully tart.,Food_&_Eating; Taste_&_Flavour; Intermediate
Food & Eating,Insipid,",'ડ' ,'ન'ન' ,'ફ'ક'ક', ,'ર'સ, ,'ઇ' ,'આ'ઇ' ,'ન' ,'ઇ'.",ઇ'સ'પ'ડ,adjective,Advanced,The soup was watery and insipid.,Food_&_Eating; Taste_&_Flavour; Advanced
Food & Eating,Blanch,",'ક' ,'ઠ'ળ'ત' ,'ણ'મ' ,'ખ'ઇ' ,'ર'ભ'ત' ,'ઠ'ઇ' ,'ણ'મ' — ,'ગ' ,'ળ'ઇ' ,'ઉ'ઈ'.",બ'ન'ચ,verb,Intermediate,Blanch the broccoli for two minutes before adding it to the stir-fry.,Food_&_Eating; Cooking_&_Preparation; Intermediate
Food & Eating,Braise,",'ઢ'ક'લ' ,'ણ'મ' ,'ઓ'છ' ,'ળ'ળ' ,'ઠ'ઇ' ,'ઇ' ,'ઈ'ભ'ત'.",બ'ઇ'ઝ,verb,Advanced,She braised the lamb shanks for three hours until tender.,Food_&_Eating; Cooking_&_Preparation; Advanced
Food & Eating,Dice,",'ઇ'ર'ક' ,'ઘ'ન' (cube) ,'ક'ર' ,'ટ'ક'ડ' ,'ઇ'ઇ'.",ડ'ઇ'સ,verb,Intermediate,Dice the onions before adding them to the pan.,Food_&_Eating; Cooking_&_Preparation; Intermediate
Food & Eating,Fold,",'ઇ' ,'ઇ'ઇ' ,'ઇ' ,'ઇ' ,'ઇ' ,'ઇ' — ,'ઇ' ,'ઇ' ,'ઇ'.",ફ'ઓ'ડ,verb,Intermediate,Fold the egg whites gently into the batter.,Food_&_Eating; Cooking_&_Preparation; Intermediate
Food & Eating,Mince,",'ઇ'ઇ' ,'ઇ' ,'ઇ' ,'ઇ'ઇ' ,'ઇ'ઇ'.",",'",verb,Intermediate,Mince the garlic finely before adding it to the oil.,Food_&_Eating; Cooking_&_Preparation; Intermediate
Food & Eating,Poach,",'ઇ'ઇ' ,'ઇ' ,'ઇ'ઇ' — ,'ઇ', ,'ઇ' ,'ઇ'ઇ'.",",'",verb,Intermediate,She poached the eggs perfectly for breakfast.,Food_&_Eating; Cooking_&_Preparation; Intermediate
Food & Eating,Reduce,",'ઇ'ઇ' ,'ઇ' ,'ઇ' ,'ઇ'ઇ' ,'ઇ'ઇ'.",",'",verb,Intermediate,Reduce the sauce on a low heat until it thickens.,Food_&_Eating; Cooking_&_Preparation; Intermediate
Food & Eating,Steam,",'ઇ'ઇ' ,'ઇ' ,'ઇ'ઇ' — ,'ઇ' ,'ઇ'ઇ'.",",'",verb,Intermediate,Steam the broccoli for five minutes to keep it crisp.,Food_&_Eating; Cooking_&_Preparation; Intermediate
Food & Eating,Caramelise,",'ઇ'ઇ' ,'ઇ' ,'ઇ'ઇ' ,'ઇ'ઇ' ,'ઇ'ઇ'.",",'",verb,Advanced,Caramelise the onions slowly for the best flavour.,Food_&_Eating; Cooking_&_Preparation; Advanced
Food & Eating,Render,",'ઇ'ઇ' ,'ઇ' ,'ઇ'ઇ' — ,'ઇ' ,'ઇ'ઇ'.",",'",verb,Advanced,Render the bacon in a cold pan for the crispiest result.,Food_&_Eating; Cooking_&_Preparation; Advanced
Food & Eating,Takeaway,"રૅસ્ટ'ર'ટ'મ' ,'ઇ'ઇ' ,'ઇ'ઇ' ,'ઇ'ઇ' — ,'ઇ' ,'ઇ' ,'ઇ'.",ટૅઇકઅવે,noun,Intermediate,Let's order a takeaway tonight instead of cooking.,Food_&_Eating; Eating_Out; Intermediate
Food & Eating,Menu,",'ઇ'ઇ' ,'ઇ'ઇ' ,'ઇ'ઇ'.",",'",noun,Intermediate,"Could we see the menu, please?",Food_&_Eating; Eating_Out; Intermediate
Food & Eating,Waiter,",'ઇ'ઇ' ,'ઇ' ,'ઇ'ઇ'.",",'",noun,Intermediate,The waiter took our order promptly.,Food_&_Eating; Eating_Out; Intermediate
Food & Eating,Complimentary,",'ઇ'ઇ' ,'ઇ'ઇ' — ,'ઇ'ઇ' ,'ઇ'ઇ'.",",'",adjective,Advanced,The restaurant offered complimentary bread while we waited.,Food_&_Eating; Eating_Out; Advanced
Food & Eating,Corkage,",'ઇ'ઇ' ,'ઇ'ઇ' ,'ઇ'ઇ' ,'ઇ'ઇ'.",",'",noun,Advanced,The restaurant charges a corkage fee of 10 pounds per bottle.,Food_&_Eating; Eating_Out; Advanced
Food & Eating,Dine,",'ઇ'ઇ' — ,'ઇ'ઇ' ,'ઇ'ઇ'.",",'",verb,Intermediate,They dined at an Italian restaurant to celebrate.,Food_&_Eating; Eating_Out; Intermediate
Food & Eating,Starter,",'ઇ'ઇ' ,'ઇ'ઇ' — ,'ઇ'ઇ' ,'ઇ'ઇ'.",",'",noun,Intermediate,"I'll have the soup as a starter, please.",Food_&_Eating; Eating_Out; Intermediate
Food & Eating,Dessert,",'ઇ'ઇ' ,'ઇ'ઇ' ,'ઇ'ઇ'.",",'",noun,Intermediate,Would you like to see the dessert menu?,Food_&_Eating; Eating_Out; Intermediate
Food & Eating,Course,",'ઇ'ઇ' ,'ઇ'ઇ' — ,'ઇ'ઇ', ,'ઇ'ઇ', ,'ઇ'ઇ'.",",'",noun,Intermediate,We had a three-course meal for our anniversary.,Food_&_Eating; Eating_Out; Intermediate
Food & Eating,Doggy bag,",'ઇ'ઇ' ,'ઇ'ઇ' ,'ઇ'ઇ'.",",'",noun phrase,Intermediate,Could we have a doggy bag for the leftovers?,Food_&_Eating; Eating_Out; Intermediate
Food & Eating,Calorie,",'ઇ'ઇ' ,'ઇ'ઇ' ,'ઇ'ઇ'.",કૅ'ર',noun,Intermediate,An apple contains about 80 calories.,Food_&_Eating; Diet_&_Health; Intermediate
Food & Eating,Protein,",'ઇ'ઇ' ,'ઇ'ઇ' ,'ઇ'ઇ'.",",'",noun,Intermediate,Chicken breast is an excellent source of lean protein.,Food_&_Eating; Diet_&_Health; Intermediate
